"Chris","Pratt","1979-06-21"
"Zoe","Saldana","1978-06-19"
"Dave","Bautista","1969-01-18"
"Vin","Diesel","1967-07-18"
"Bradley","Cooper","1975-01-05"
"Lee","Pace","1979-04-25"
"Michael","Rooker","1955-04-06"
"Karen","Gillan","1987-11-28"
"Djimon","Hounsou"
"Ellen","Burstyn"
"Matthew","McConaughey"
"Mackenzie","Foy"
"John","Lithgow"
"David","Oyelowo"
"Collette","Wolfe"
"Francis X","McCarthy"
"Bill","Irwin"
"Ralph","Fiennes"
"F. Murray","Abraham"
"Mathieu","Amalric"
"Adrien","Brody"
"Willem","Dafoe"
"Jeff","Goldblum"
"Harvey","Keitel"
"Jude","Law"
"Bill","Murray"
"Ben","Affleck"
"Rosamund","Pike"
"Neil Patrick","Harris"
"Tyler","Perry"
"Carrie","Coon"
"Patrick","Fugit"
"David","Clennon"
"Benedict","Cumberbatch"
"Keira","Knightley"
"Matthew","Goode"
"Rory","Kinnear"
"Allen","Leech"
"Matthew","Beard"
"Charles","Dance"
"Mark","Strong"
"Keanu","Reeves"
"Michael","Nyqvist"
"Alfie","Allen"
"Willem","Dafoe"
"Dean","Winters"
"Adrianne","Palicki"
"Omer","Barnea"
"Daniel","Bernhardt"
"Hugh","Jackman"
"James","McAvoy"
"Michael","Fassbender"
"Halle","Berry"
"Nicholas","Hoult"
"Anna","Paquin"
"Ellen","Page"
"Peter","Dinklage"
"Elizabeth","Reaser"
"Henry","Thomas"
"Doug","Jones"
"Kate","Siegel"
"Denzel","Washington"
"Marton","Csokas"
"David","Harbour"
"Haley","Bennett"
"Bill","Pullman"
"Melissa","Leo"
"David","Meunier"
"Angelina","Jolie"
"Elle","Fanning"
"Sharlto","Copley"
"Lesley","Manville"
"Imelda","Staunton"
"Juno","Temple"
"Sam","Riley"
"Brenton","Thwaites"
"Kenneth","Cranham"
"Miles","Teller"
"J.K.","Simmons"
"Paul","Reiser"
"Melissa","Benoist"
"Chris","Mulkey"
"Brad","Pitt"
"Shia","LaBeouf"
"Logan","Lerman"
"Jon","Bernthal"
"Jim","Parrack"
"Brad William","Henke"
"Xavier","Samuel"
"Colin","Firth"
"Mark","Strong"
"Jonno","Davies"
"Jack","Davenport"
"Samantha","Womack"
"Mark","Hamill"
"Velibor","Topic"
"Keir","Gilchrist"
"Maika","Monroe"
"Lili","Sepe"
"Olivia","Luccardi"
"Tom","Cruise"
"Emily","Blunt"
"Brendan","Gleeson"
"Bill","Paxton"
"Jonas","Armstrong"
"Tony","Way"
"Kick","Gurry"
"Franz","Drameh"
"Eddie","Redmayne"
"Felicity","Jones"
"Harry","Lloyd"
"Alice","Orr-Ewing"
"David","Thewlis"
"Thomas","Morrison"
